"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2020;"97310";"2000380";"clethodime";"99129-21-2";"0.6";"Env B";"";"Non"
2020;"97310";"2010030";"mepiquat-chlorure";"24307-26-4";"6";"Env B";"";"Non"
2020;"97310";"2010030";"prohexadione-calcium";"127277-53-6";"1";"Env B";"";"Non"
2020;"97310";"2030342";"chlormequat chlorure";"999-81-5";"36.8";"Autre";"";"Non"
2020;"97310";"2050075";"boscalid";"188425-85-6";"1.25";"Env A";"";"Non"
2020;"97310";"2080103";"thiophanate-methyl";"23564-05-8";"5";"CMR";"";"Non"
2020;"97310";"2080145";"diflufenicanil";"83164-33-4";"2";"Env B";"";"Non"
2020;"97310";"2080145";"flufenacet";"142459-58-3";"4";"Env A";"";"Non"
2020;"97310";"2090001";"proquinazid";"189278-12-4";"0.6";"CMR";"";"Non"
2020;"97310";"2090016";"imazamox";"114311-32-9";"0.334";"Env A";"Substitution";"Non"
2020;"97310";"2090016";"pendimethaline";"40487-42-1";"5";"Env A";"Substitution";"Non"
2020;"97310";"2090042";"cloquintocet-mexyl";"99607-70-2";"0.4098";"Autre";"";"Non"
2020;"97310";"2090042";"florasulame";"145701-23-1";"0.1368";"Env A";"";"Non"
2020;"97310";"2090042";"pyroxsulame";"422556-08-9";"0.4098";"Env A";"";"Non"
2020;"97310";"2100052";"cyprodinyl";"121552-61-2";"3.0";"Env A";"";"Non"
2020;"97310";"2100053";"fluroxypyr";"69377-81-7";"1";"Env B";"";"Non"
2020;"97310";"2100057";"prothioconazole";"178928-70-6";"1.75";"CMR";"";"Non"
2020;"97310";"2100057";"trifloxystrobine";"141517-21-7";"0.88";"Env A";"";"Non"
2020;"97310";"2100108";"prothioconazole";"178928-70-6";"3.750";"CMR";"";"Non"
2020;"97310";"2100108";"tebuconazole";"107534-96-3";"3.750";"CMR";"";"Non"
2020;"97310";"2100138";"cloquintocet-mexyl";"99607-70-2";"0.25";"Autre";"";"Non"
2020;"97310";"2100138";"pinoxaden";"243973-20-8";"1";"CMR";"";"Non"
2020;"97310";"2110103";"tribenuron-methyle";"101200-48-0";"0.225";"Env A";"";"Non"
2020;"97310";"2110151";"clodinafop-propargyl";"105512-06-9";"0.3";"Env A";"";"Non"
2020;"97310";"2110151";"cloquintocet-mexyl";"99607-70-2";"0.075";"Autre";"";"Non"
2020;"97310";"2110151";"prosulfocarbe";"52888-80-9";"24";"Env A";"";"Non"
2020;"97310";"2110181";"bixafen";"581809-46-3";"0.75";"Env A";"";"Non"
2020;"97310";"2110181";"prothioconazole";"178928-70-6";"1";"CMR";"";"Non"
2020;"97310";"2110181";"tebuconazole";"107534-96-3";"1";"CMR";"";"Non"
2020;"97310";"2140040";"phosmet";"732-11-6";"30";"Env A";"";"Non"
