"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2020;"20000";"2010023";"deltamethrine";"52918-63-5";"1.02";"Santé A";"";"Non"
2020;"20000";"2010513";"bacillus thuringiensis ssp kurstaki";"68038-71-1";"";"Autre";"";"Non"
2020;"20000";"2020241";"bacillus thuringiensis sérotype h 7";"68038-71-1";"0.27";"Autre";"";"Non"
2020;"20000";"2050046";"flonicamide";"158062-67-0";"1";"Autre";"";"Non"
2020;"20000";"2080038";"pyrethrines";"8003-34-7";"0.186";"Env A";"";"Non"
2020;"20000";"2090093";"glyphosate";"1071-83-6";"27";"Env A";"";"Non"
2020;"20000";"2090188";"glyphosate";"1071-83-6";"21.6";"Env A";"";"Non"
2020;"20000";"2110086";"spirotetramat";"203313-25-1";"5";"CMR";"";"Non"
2020;"20000";"2130153";"acide acetique";"64-19-7";"0.0654";"Autre";"";"Non"
2020;"20000";"2130212";"phosmet";"732-11-6";"2.5";"Env A";"";"Non"
2020;"20000";"2140085";"abamectine";"71751-41-2";"0.54";"CMR";"";"Non"
2020;"20000";"2140090";"azadirachtine";"11141-17-6";"0.0098";"CMR";"";"Non"
2020;"20000";"2150104";"huile minerale paraffinique";"8042-47-5";"49.02";"Autre";"";"Non"
2020;"20000";"2150140";"glyphosate";"1071-83-6";"57.6";"Env A";"";"Non"
2020;"20000";"2170110";"myclobutanil";"88671-89-0";"0.25";"CMR";"";"Non"
2020;"20000";"2170412";"huile essentielle d'orange douce";"8028-48-6";"0.3";"Env A";"";"Non"
2020;"20000";"5100219";"soufre sublime";"7704-34-9";"99";"Autre";"";"Non"
2020;"20000";"7200313";"alcools terpeniques";"98-55-5";"13.3";"Autre";"";"Non"
2020;"20000";"8900681";"pendimethaline";"40487-42-1";"2";"Env A";"Substitution";"Non"
2020;"20000";"9000222";"soufre";"7704-34-9";"7";"Autre";"";"Non"
2020;"20000";"9100296";"2,4-d";"94-75-7";"42";"Env B";"";"Non"
2020;"20000";"9200482";"bacillus thuringiensis ssp kurstaki souche sa-11";"68038-71-1";"2.55";"Autre";"";"Non"
2020;"20000";"9300504";"huile de vaseline";"8042-47-5";"98.04";"Autre";"";"Non"
2020;"20000";"9400162";"glyphosate";"1071-83-6";"36";"Env A";"";"Non"
2020;"20000";"9500452";"cuivre du sulfate de cuivre";"8011-63-0";"9";"Env A";"Substitution";"Non"
2020;"20000";"9600025";"fosetyl-aluminium";"39148-24-8";"9.6";"Autre";"";"Non"
2020;"20000";"9800336";"lambda-cyhalothrine";"91465-08-6";"0.3";"Santé A";"Substitution";"Non"
2020;"20090";"2010023";"deltamethrine";"52918-63-5";"0.42";"Santé A";"";"Non"
2020;"20090";"2010130";"cuivre de l'oxyde cuivreux";"1317-39-1";"7.5";"Env A";"Substitution";"Non"
2020;"20090";"2010513";"bacillus thuringiensis ssp kurstaki";"68038-71-1";"";"Autre";"";"Non"
2020;"20090";"2020241";"bacillus thuringiensis sérotype h 7";"68038-71-1";"0.54";"Autre";"";"Non"
2020;"20090";"2030332";"2,4-d";"94-75-7";"1.44";"Env B";"";"Non"
2020;"20090";"2030332";"dichlorprop-p";"15165-67-0";"0.72";"Autre";"";"Non"
2020;"20090";"2050046";"flonicamide";"158062-67-0";"0.25";"Autre";"";"Non"
2020;"20090";"2060084";"boscalid";"188425-85-6";"0.267";"Env A";"";"Non"
2020;"20090";"2060084";"pyraclostrobine";"175013-18-0";"0.067";"Santé A";"";"Non"
2020;"20090";"2060098";"spinosad";"168316-95-8";"17.28";"Env A";"";"Non"
2020;"20090";"2070107";"fosetyl";"15845-66-6";"4.65";"Autre";"";"Non"
2020;"20090";"2070107";"propamocarbe";"24579-73-5";"7.95";"Autre";"";"Non"
2020;"20090";"2080038";"pyrethrines";"8003-34-7";"0.093";"Env A";"";"Non"
2020;"20090";"2080136";"pyridate";"55512-33-9";"0.9";"Env A";"";"Non"
2020;"20090";"2090116";"glyphosate";"1071-83-6";"23.4";"Env A";"";"Non"
2020;"20090";"2090127";"huile essentielle d'orange douce";"8028-48-6";"0.3";"Env A";"";"Non"
2020;"20090";"2090160";"glyphosate";"1071-83-6";"36";"Env A";"";"Non"
2020;"20090";"2100038";"kaolin";"1332-58-7";"350";"Autre";"";"Non"
2020;"20090";"2100066";"daminozide";"1596-84-5";"2.975";"Autre";"";"Non"
