"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2021;"97660";"2060131";"2,4-d";"94-75-7";"0.465";"Env B";"";"Non"
2021;"97660";"2060131";"triclopyr";"55335-06-3";"0.518";"Env B";"";"Non"
2021;"97660";"2080105";"glyphosate";"1071-83-6";"1.8";"Env A";"";"Non"
2021;"97680";"2010023";"deltamethrine";"52918-63-5";"0.3";"Santé A";"";"Non"
2021;"97680";"2060098";"spinosad";"168316-95-8";"1.2";"Env A";"";"Non"
2021;"97680";"2060130";"spinosad";"168316-95-8";"0.0024";"Env A";"";"Non"
2021;"97680";"2100231";"emamectine benzoate";"155569-91-8";"0.0475";"Santé A";"";"Non"
2021;"97680";"2160272";"hexythiazox";"78587-05-0";"0.3125";"Env A";"";"Non"
2021;"97680";"2171086";"pyriproxyfene";"95737-68-1";"0.5";"Env A";"";"Non"
2021;"97680";"2189996";"azadirachtine";"11141-17-6";"0.13";"CMR";"";"Non"
2021;"97680";"8800841";"difenoconazole";"119446-68-3";"0.375";"Env A";"";"Non"
2021;"97680";"9700332";"azoxystrobine";"131860-33-8";"7.5";"Santé A";"";"Non"
2021;"97680";"9800219";"ethephon";"16672-87-0";"6";"Santé A";"";"Non"
2021;"97680";"9800336";"lambda-cyhalothrine";"91465-08-6";"0.3";"Santé A";"Substitution";"Non"
