"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2021;"04000";"2010023";"deltamethrine";"52918-63-5";"0.075";"Santé A";"";"Non"
2021;"04000";"2010513";"bacillus thuringiensis ssp kurstaki souche abts-351";"68038-71-1";"";"Autre";"";"Non"
2021;"04000";"2030175";"bacillus thuringiensis ssp kurstaki souche sa-11";"68038-71-1";"1.7";"Autre";"";"Non"
2021;"04000";"2060045";"huile vegetale";"";"0.84";"Autre";"";"Non"
2021;"04000";"2060045";"resines (colophane)";"8050-09-7";"8.16";"Autre";"";"Non"
2021;"04000";"2060127";"prothioconazole";"178928-70-6";"0.033";"Env A";"";"Non"
2021;"04000";"2080026";"nicosulfuron";"111991-09-4";"2.04";"Env A";"";"Non"
2021;"04000";"2080105";"glyphosate";"1071-83-6";"7.2";"Env A";"";"Non"
2021;"04000";"2090050";"cypermethrine";"52315-07-8";"4.8";"Env A";"";"Non"
2021;"04000";"2090146";"abamectine";"71751-41-2";"0.000039";"CMR";"";"Non"
2021;"04000";"2090146";"pyrethrines";"8003-34-7";"0.00052";"Env A";"";"Non"
2021;"04000";"2100009";"thifensulfuron-methyle";"79277-27-3";"0.666";"Env A";"";"Non"
2021;"04000";"2100009";"tribenuron-methyle";"101200-48-0";"0.334";"Env A";"";"Non"
2021;"04000";"2100030";"phosphate ferrique";"10045-86-0";"0.594";"Autre";"";"Non"
2021;"04000";"2100038";"kaolin";"1332-58-7";"175";"Autre";"";"Non"
2021;"04000";"2100065";"metsulfuron-methyl";"74223-64-6";"0.204";"Env A";"Substitution";"Non"
2021;"04000";"2100065";"thifensulfuron-methyle";"79277-27-3";"2.046";"Env A";"";"Non"
2021;"04000";"2100111";"mesotrione";"104206-82-8";"4.125";"Env A";"";"Non"
2021;"04000";"2100111";"nicosulfuron";"111991-09-4";"1.65";"Env A";"";"Non"
2021;"04000";"2110102";"difenoconazole";"119446-68-3";"0.1800";"Env A";"";"Non"
2021;"04000";"2110102";"fludioxonil";"131341-86-1";"0.1800";"Env A";"";"Non"
